graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
SWtinyDAG,random,0,6.0,5.000035766999645,79,2,608225,0,time_limit
SWtinyDAG,random,1,6.0,5.00001606800015,45,1,605922,0,time_limit
SWtinyDAG,random,2,6.0,5.00002039500032,46,2,647007,0,time_limit
SWtinyDAG,random,3,6.0,5.000037642999814,202,3,726000,0,time_limit
SWtinyDAG,random,4,5.0,5.000023532000341,58,1,687995,0,time_limit
SWtinyDAG,greedy,0,6.0,5.000028767000003,139,1,615887,0,time_limit
SWtinyDAG,greedy,1,6.0,5.000030649000109,148,2,709996,0,time_limit
SWtinyDAG,greedy,2,6.0,5.0000290400003,135,2,599819,0,time_limit
SWtinyDAG,greedy,3,5.0,5.000041539000449,69,1,726501,0,time_limit
SWtinyDAG,greedy,4,6.0,5.000030780999623,276,2,598199,0,time_limit
SWtinyDAG,local,0,6.0,5.001541378000184,8,1,2269,0,time_limit
SWtinyDAG,local,1,6.0,5.002083274000142,9,1,2307,0,time_limit
SWtinyDAG,local,2,6.0,5.000958266000453,8,1,2238,0,time_limit
SWtinyDAG,local,3,6.0,5.000895825000043,8,1,2327,0,time_limit
SWtinyDAG,local,4,6.0,5.001422915000148,9,1,2220,0,time_limit
SWtinyG,random,0,5.0,5.000018750999516,114,1,650959,0,time_limit
SWtinyG,random,1,6.0,5.000016304000383,48,2,649096,0,time_limit
SWtinyG,random,2,5.0,5.000024121999559,79,1,828070,0,time_limit
SWtinyG,random,3,6.0,5.000016785999833,39,2,714050,0,time_limit
SWtinyG,random,4,6.0,5.000017760999981,40,2,763117,0,time_limit
SWtinyG,greedy,0,6.0,5.000022788000024,64,3,721351,0,time_limit
SWtinyG,greedy,1,6.0,5.000019643000087,33,1,752673,0,time_limit
SWtinyG,greedy,2,6.0,5.0000244590000875,130,1,760466,0,time_limit
SWtinyG,greedy,3,6.0,5.000022429999262,41,2,666283,0,time_limit
SWtinyG,greedy,4,6.0,5.0000190760001715,35,2,623052,0,time_limit
SWtinyG,local,0,6.0,5.0020686389998446,2,1,2365,0,time_limit
SWtinyG,local,1,6.0,5.001944667999851,2,1,2362,0,time_limit
SWtinyG,local,2,6.0,5.001839204999669,2,1,2365,0,time_limit
SWtinyG,local,3,6.0,5.001568777000102,2,1,2367,0,time_limit
SWtinyG,local,4,6.0,5.001729829000396,2,1,2288,0,time_limit
SWmediumG,random,0,119.0,0.7056383179997283,2000,4,0,0,max_candidates
SWmediumG,random,1,121.0,0.7443943700000091,2000,6,0,0,max_candidates
SWmediumG,random,2,121.0,0.7496635559991773,2000,2,0,0,max_candidates
SWmediumG,random,3,121.0,0.7565796720000435,2000,6,0,0,max_candidates
SWmediumG,random,4,120.0,0.7330021170000691,2000,4,0,0,max_candidates
SWmediumG,greedy,0,121.0,1.1171655460002512,2000,4,0,0,max_candidates
SWmediumG,greedy,1,119.0,0.9665106880001986,2000,4,0,0,max_candidates
SWmediumG,greedy,2,120.0,1.001573247000124,2000,3,0,0,max_candidates
SWmediumG,greedy,3,121.0,0.9925363949996608,2000,6,0,0,max_candidates
SWmediumG,greedy,4,121.0,0.9983196840003075,2000,4,0,0,max_candidates
SWmediumG,local,0,121.0,5.02996398400046,153,3,0,0,time_limit
SWmediumG,local,1,118.0,5.003697113000271,152,1,0,0,time_limit
SWmediumG,local,2,121.0,5.018670483000278,146,2,0,0,time_limit
SWmediumG,local,3,121.0,5.021223533000011,154,4,0,0,time_limit
SWmediumG,local,4,121.0,5.016571254000155,145,2,0,0,time_limit
SWlargeG,random,0,477980.0,12.308546485999614,1,1,0,0,time_limit
SWlargeG,random,1,478080.0,12.13437642899953,1,1,0,0,time_limit
SWlargeG,random,2,478035.0,12.437801417000628,1,1,0,0,time_limit
SWlargeG,random,3,478119.0,13.373250114000257,1,1,0,0,time_limit
SWlargeG,random,4,478180.0,13.11205247900034,1,1,0,0,time_limit
SWlargeG,greedy,0,478091.0,28.398497660999965,1,1,0,0,time_limit
SWlargeG,greedy,1,478018.0,28.370407451000574,1,1,0,0,time_limit
SWtinyDAG,random,0,6.0,5.00003096599994,191,1,805681,0,time_limit
SWtinyDAG,random,1,6.0,5.000032361999729,112,1,755589,0,time_limit
SWtinyDAG,random,2,6.0,5.0000212559998545,88,2,602135,0,time_limit
SWtinyDAG,random,3,6.0,5.000023488999432,103,3,609919,0,time_limit
SWtinyDAG,random,4,6.0,5.00002432600013,72,1,638366,0,time_limit
SWtinyDAG,greedy,0,6.0,5.000022718999389,44,1,649028,0,time_limit
SWtinyDAG,greedy,1,6.0,5.0000199240002985,48,1,616453,0,time_limit
SWtinyDAG,greedy,2,6.0,5.000025929000003,53,1,624061,0,time_limit
SWtinyDAG,greedy,3,6.0,5.000032283999644,143,2,602235,0,time_limit
SWtinyDAG,greedy,4,6.0,5.000025438000193,166,2,667520,0,time_limit
SWtinyDAG,local,0,6.0,5.000849494999784,8,1,2205,0,time_limit
SWtinyDAG,local,1,6.0,5.00055294699996,9,1,2193,0,time_limit
SWtinyDAG,local,2,6.0,5.001200656000037,9,1,2287,0,time_limit
SWtinyDAG,local,3,6.0,5.0022377999994205,9,1,2205,0,time_limit
SWtinyDAG,local,4,6.0,5.001667264000389,9,1,2228,0,time_limit
SWtinyDG,random,0,6.0,5.0000413549996665,335,2,532194,0,time_limit
SWtinyDG,random,1,4.0,5.000025637999897,53,1,680281,0,time_limit
SWtinyDG,random,2,6.0,5.000020749000214,159,2,545022,0,time_limit
SWtinyDG,random,3,6.0,5.000027312999919,154,1,561353,0,time_limit
SWtinyDG,random,4,5.0,5.000028638999538,130,1,699825,0,time_limit
